MTES,impulsivity,ss,exploration,Risk Variety,Gender,Unnamed: 6,pnrt_pos,pnrt_neg,brp_hsn,mmi,Video Gaming,First Phone Age,Filter 1,Phone Hours/Day,social_score,parasocial_score
0.349479932,1.924563435,-0.99756,-0.935222805,48.23232,1,,42.85714,37.5,55.55556,0.363899,1,12.5,1,5.0,14,7
-0.833104204,-0.659490512,-1.16423,-0.731810495,50.75758,1,,85.71429,37.5,33.33333,0.431488,2,13.5,1,4.5,9,6
0.643021795,0.148026346,-0.99756,-0.118540543,31.56566,1,,64.28571,0.0,22.22222,0.332697,0,12.0,1,4.5,11,12
1.549840299,-1.628510743,-0.99756,0.191064494,54.0404,2,,71.42857,50.0,44.44444,1.511332,4,12.5,1,8.0,14,9
-0.602309091,-1.144000627,-1.66423,0.820556122,46.21212,1,,57.14286,62.5,33.33333,-0.74301,0,12.5,1,4.5,11,3
0.455724402,1.44005332,-1.66423,-0.199391224,65.15152,1,,71.42857,50.0,66.66667,2.337318,0,12.5,1,4.0,5,9
-0.593420976,-1.144000627,-1.83089,0.51603385,38.38384,1,,64.28571,37.5,22.22222,-0.32972,0,21.0,0,3.5,10,2
0.064826185,-0.336483769,-1.16423,-0.981113782,43.93939,1,,71.42857,25.0,33.33333,0.237518,0,13.5,1,4.5,10,7
0.811541585,0.955543205,-0.99756,1.969484931,46.21212,1,,64.28571,50.0,33.33333,0.965323,0,12.5,1,7.0,7,12
0.020327095,-1.628510743,-1.99756,0.515561125,38.38384,1,,57.14286,50.0,22.22222,0.106044,0,12.5,1,3.0,6,4
0.073714301,-0.336483769,-0.99756,-1.015695987,30.55556,1,,64.28571,25.0,11.11111,-1.20813,0,14.0,1,8.5,8,7
-0.059724457,-0.982497256,-1.49756,-0.5103542,16.91919,1,,28.57143,12.5,11.11111,-0.3886,0,12.5,1,3.5,10,1
-0.566285201,-0.659490512,-1.24756,1.197930618,31.56566,2,,50.0,25.0,22.22222,-0.10728,2,14.0,1,6.666667,2,4
0.554082127,2.893583665,-1.49756,-0.569244855,30.55556,2,,42.85714,62.5,11.11111,-0.84472,0,13.5,1,8.0,16,10
-0.290519569,-0.013477026,-1.83089,0.547878318,42.92929,1,,64.28571,62.5,22.22222,0.428234,0,17.0,1,4.5,8,4
0.80265347,2.086066807,-0.99756,-0.096611879,45.20202,1,,64.28571,75.0,22.22222,-0.26546,0,14.0,1,4.0,13,8
-0.52178611,0.955543205,-1.33089,1.625527796,54.0404,1,,71.42857,50.0,44.44444,-0.42931,0,12.5,1,4.5,9,4
0.589634589,-0.336483769,-0.99756,0.112436496,26.0101,1,,50.0,25.0,11.11111,0.296784,0,13.5,1,4.0,12,6
0.07418573,-0.174980397,-1.66423,0.240182206,20.20202,1,,7.142857,37.5,22.22222,-0.63968,3,12.5,1,8.5,9,6
-1.847168549,0.794039833,-1.33089,0.254494379,39.39394,2,,64.28571,12.5,33.33333,-0.97635,0,18.0,1,2.0,1,4
-0.450622674,-0.013477026,-1.49756,-0.276608276,37.37374,1,,92.85714,12.5,11.11111,-0.13628,1,15.0,1,8.666667,10,4
-0.513369424,-1.951517486,-1.16423,1.308663041,45.20202,2,,85.71429,37.5,22.22222,-0.16758,1,14.0,1,4.0,5,6
1.965988575,2.732080293,-1.16423,-0.064571368,49.49495,1,,50.0,62.5,44.44444,-0.47019,0,13.0,1,4.0,9,5
0.295149869,-0.820993884,-1.16423,0.377297745,48.48485,1,,71.42857,50.0,33.33333,-0.23932,1,13.0,1,2.0,8,8
0.606939391,-0.659490512,-1.16423,2.432409002,32.82828,1,,64.28571,37.5,11.11111,1.256793,3,12.5,1,3.0,14,0
-0.086388804,1.763060063,-0.99756,2.804990325,50.75758,1,,64.28571,75.0,33.33333,-1.05799,0,12.5,1,8.0,12,5
0.606939391,0.148026346,-1.16423,-0.554739145,55.05051,1,,50.0,62.5,55.55556,0.279116,0,14.0,1,1.25,13,1
-0.13930458,-0.013477026,-1.49756,-0.413613212,54.0404,1,,71.42857,50.0,44.44444,0.254088,0,13.0,1,5.666667,12,0
0.882233593,-0.820993884,-1.19756,-0.935222805,52.0202,1,,100.0,50.0,22.22222,-0.36236,0,14.0,1,3.5,13,7
0.28767604,0.47103309,-1.16423,-0.53852339,46.21212,2,,57.14286,62.5,33.33333,-1.18642,0,13.5,1,6.0,12,6
0.003022293,0.47103309,-1.16423,0.387029051,49.74747,1,,85.71429,62.5,22.22222,-0.4151,0,13.5,1,6.0,9,5
0.24317695,0.955543205,-1.33089,-0.341449107,40.65657,1,,71.42857,37.5,22.22222,1.029186,3,15.0,1,7.5,5,6
-1.260084824,-1.790014114,-1.49756,-2.881858768,31.56566,1,,57.14286,12.5,22.22222,-0.92608,0,12.5,1,4.5,8,1
0.22492929,-0.336483769,-0.99756,-0.553508736,21.46465,1,,35.71429,25.0,11.11111,0.285594,0,14.0,1,5.5,11,4
0.749266264,-0.659490512,-1.66423,-0.448525261,24.74747,1,,42.85714,0.0,22.22222,0.149791,3,13.5,1,5.5,8,8
-0.815327973,0.632536461,-0.99756,0.379804638,37.12121,2,,50.0,25.0,33.33333,-1.27621,0,15.0,1,1.0,7,4
-0.388347352,-0.013477026,-1.99756,0.065585668,15.90909,2,,35.71429,25.0,0.0,-0.55128,2,14.0,1,6.75,13,4
0.669686141,-0.497987141,-1.33089,1.024285101,47.22222,1,,57.14286,37.5,44.44444,0.985812,1,14.0,1,4.0,7,10
0.144877738,-0.820993884,-1.49756,-0.988431549,51.76768,1,,64.28571,50.0,44.44444,-0.29137,0,12.5,1,6.0,10,6
-1.251196708,0.309529718,-1.16423,-0.606647462,40.65657,2,,71.42857,37.5,22.22222,-0.32584,2,14.0,1,4.5,1,6
